Tweet ID,Created At,Text,Likes,Retweets,Replies
1869880565522112580,2024-12-19 23:00:42+00:00,"We are communicating directly with this small group of impacted customers with support and next steps, via messages in the CommBank app and NetBank. Most customers will be unaffected. If you need more information on the eftpos issue please go to https://t.co/TsKrDnk6mS.",1,0,0
1869880563617935642,2024-12-19 23:00:41+00:00,"Due to an industry-wide eftpos issue, a small minority of our customers who pay with their debit cards in digital wallets may experience issues using eftpos from midnight 31 December 2024.",0,0,2
1869880561772511302,2024-12-19 23:00:41+00:00,ðŸš¨ IMPORTANT UPDATE FOR A SMALL GROUP OF APPLE PAY &amp; COMMBANK TAP &amp; PAY USERS ðŸš¨,8,0,4
1861935625748074999,2024-11-28 00:50:20+00:00,"- 40% reduction in call centre wait times helped by our AI-powered, in-app messaging.

- More than $1.2b connected to customers via Benefits finder â€“ connecting them to unclaimed grants, rebates and concessions.

Find out more here: https://t.co/YxvuysOll9",0,0,16
1861935623541834200,2024-11-28 00:50:20+00:00,"- 50% reduction in customer scam losses, aided by the implementation of safety and security features, including NameCheck, CallerCheck, CustomerCheck.

- 30% reduction in customer reported fraud due to measures like our proactive suspicious transaction alerts.",4,1,56
1861935620643598825,2024-11-28 00:50:19+00:00,"Weâ€™re taking the next steps in reimagining banking for our customers with continued investment in technology and responsible AI, aimed at delivering a safer and more personalised banking experience. Hereâ€™s what weâ€™ve achieved so far ðŸ‘‡ https://t.co/SFgzB7dgqU",7,0,26
1859429881152717046,2024-11-21 02:53:24+00:00,Congratulations to the CommBank @paramatildas on taking out your first ever @ifcpf World Cup and making Australian football history. Youâ€™re truly changing the game. @FootballAUS,1,0,2
1859429878501867559,2024-11-21 02:53:24+00:00,"Australia, say hello to your newest world champions ðŸ’› the CommBank @paramatildas https://t.co/VEtm5fUobc",20,1,7
1852126239265525831,2024-10-31 23:11:20+00:00,Weâ€™re providing Emergency Assistance to our customers in power-outage affected areas of Broken Hill. More information at https://t.co/0VQCz418ok.,6,0,14
1847527465272692778,2024-10-19 06:37:27+00:00,"We encourage customers to be aware of increased scam activity. Remember, we'll never send you an email or SMS asking for banking information like your NetBank Client ID, password, or NetCode; or include a link to login directly from an email or SMS.",9,2,12
